기간	자치구	동	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10	다수업종 상위10
기간	자치구	동	택시운송업	택시운송업	한식음식점업	한식음식점업	용달 및 개별화물 자동차운송업	용달 및 개별화물 자동차운송업	부동산자문 및 중개업	부동산자문 및 중개업	기타주점업	기타주점업	두발미용업	두발미용업	비알콜 음료점업	비알콜 음료점업	셔츠 및 기타 의복 소매점	셔츠 및 기타 의복 소매점	셔츠 및 외의 도매업	셔츠 및 외의 도매업	일반 교과 학원	일반 교과 학원
기간	자치구	동	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2016	노원구	상계10동	108	108	9	39	54	54	13	24	4	7	9	21	7	26	5	9	-	-	8	23
2016	노원구	상계3.4동	182	182	98	191	183	209	38	63	44	60	46	57	15	26	17	28	-	-	10	29
2016	노원구	상계6.7동	175	175	104	435	93	93	56	93	44	124	50	120	32	134	20	58	-	-	31	143
2016	노원구	중계2.3동	194	194	52	272	133	133	23	39	14	43	36	63	24	118	137	297	1	2	17	39
2016	노원구	공릉1동	321	1,108	190	594	210	213	75	111	64	131	73	99	50	147	21	38	5	19	19	41
2016	은평구	소계	3,037	4,443	1,568	4,798	1,956	2,031	996	1,490	710	1,239	915	1,380	429	1,149	491	1,070	17	72	450	1,468
2016	은평구	녹번동	113	113	120	387	295	295	71	94	38	70	54	77	26	95	11	35	3	18	17	81
2016	은평구	불광1동	157	157	120	301	106	106	92	187	42	65	66	94	30	67	21	43	1	1	27	58
2016	은평구	갈현1동	97	97	145	503	85	87	48	60	93	222	56	79	30	69	21	32	-	-	22	115
2016	은평구	갈현2동	135	135	119	369	90	91	50	77	59	134	67	94	42	116	47	83	-	-	64	188
